2026-04-06 00:39:41,537 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 00:39:41,652 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 00:39:41,654 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 00:39:41,690 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 00:43:49,924 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 00:43:49,972 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 00:43:49,973 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 00:43:50,001 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 00:49:22,399 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 00:49:22,467 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 00:49:22,469 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 00:49:22,496 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 00:51:24,808 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 00:51:24,875 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 00:51:24,878 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 00:51:24,904 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 00:52:54,377 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 00:52:54,450 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 00:52:54,452 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 00:52:54,484 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 00:57:22,365 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 00:57:22,432 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 00:57:22,434 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 00:57:22,459 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 00:57:22,648 | ERROR    | ITS_App:13 | 百度地图MCP连接失败: Failed to connect to MCP server '百度地图': HTTP error 405 (Method Not Allowed)
2026-04-06 00:57:22,792 | INFO     | ITS_App:22 | MCP连接建立完成
2026-04-06 00:59:47,356 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 00:59:47,422 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 00:59:47,424 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 00:59:47,452 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 00:59:47,801 | ERROR    | ITS_App:13 | 百度地图MCP连接失败: Failed to connect to MCP server '百度地图': HTTP error 405 (Method Not Allowed)
2026-04-06 01:00:18,185 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 01:00:18,249 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 01:00:18,251 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 01:00:18,277 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 01:06:50,889 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 01:06:50,945 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 01:06:50,948 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 01:06:50,976 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 01:06:51,031 | WARNING  | ITS_App:18 | MCP client connect failed: 通用联网搜索: Failed to connect to MCP server '通用联网搜索': Could not reach the server.
2026-04-06 01:06:51,032 | WARNING  | ITS_App:18 | MCP client connect failed: 百度地图: Failed to connect to MCP server '百度地图': Could not reach the server.
2026-04-06 01:06:51,032 | INFO     | ITS_App:22 | MCP连接建立完成
2026-04-06 01:08:27,699 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 01:08:27,748 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 01:08:27,750 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 01:08:27,781 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 01:08:27,845 | WARNING  | ITS_App:18 | MCP client connect failed: 通用联网搜索: Failed to connect to MCP server '通用联网搜索': Could not reach the server.
2026-04-06 01:08:27,860 | WARNING  | ITS_App:18 | MCP client connect failed: 百度地图: Failed to connect to MCP server '百度地图': Could not reach the server.
2026-04-06 01:08:27,861 | INFO     | ITS_App:22 | MCP连接建立完成
2026-04-06 01:10:10,044 | DEBUG    | ITS_App:34 | 成功加载提示词: technical_agent
2026-04-06 01:10:10,099 | DEBUG    | ITS_App:34 | 成功加载提示词: comprehensive_service_agent
2026-04-06 01:10:10,100 | DEBUG    | ITS_App:34 | 成功加载提示词: orchestrator_v1
2026-04-06 01:10:10,141 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-04-06 01:10:10,213 | WARNING  | ITS_App:18 | MCP client connect failed: 通用联网搜索: Failed to connect to MCP server '通用联网搜索': Could not reach the server.
